#TYPE Deserialized.System.ServiceProcess.ServiceController
"Name","RequiredServices","PSComputerName","RunspaceId","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","Site","Container"
"AeLookupSvc","","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","False","Application Experience","","DVGEOBUILD008UK","AeLookupSvc","","SafeServiceHandle","Stopped","Win32ShareProcess",,
"ALG","","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","False","Application Layer Gateway Service","","DVGEOBUILD008UK","ALG","","SafeServiceHandle","Stopped","Win32OwnProcess",,
"AppHostSvc","","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","True","True","True","Application Host Helper Service","","DVGEOBUILD008UK","AppHostSvc","","SafeServiceHandle","Running","Win32ShareProcess",,
"AppIDSvc","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","False","Application Identity","","DVGEOBUILD008UK","AppIDSvc","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","SafeServiceHandle","Stopped","Win32ShareProcess",,
"Appinfo","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","True","Application Information","","DVGEOBUILD008UK","Appinfo","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","SafeServiceHandle","Running","Win32ShareProcess",,
"AppMgmt","","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","False","Application Management","","DVGEOBUILD008UK","AppMgmt","","SafeServiceHandle","Stopped","Win32ShareProcess",,
"aspnet_state","","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","False","ASP.NET State Service","","DVGEOBUILD008UK","aspnet_state","","SafeServiceHandle","Stopped","Win32OwnProcess",,
"AudioEndpointBuilder","System.ServiceProcess.ServiceController","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","False","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController","DVGEOBUILD008UK","AudioEndpointBuilder","System.ServiceProcess.ServiceController","SafeServiceHandle","Stopped","Win32ShareProcess",,
"AudioSrv","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","False","Windows Audio","","DVGEOBUILD008UK","AudioSrv","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","SafeServiceHandle","Stopped","Win32ShareProcess",,
"BFE","System.ServiceProcess.ServiceController","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","True","Base Filtering Engine","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","DVGEOBUILD008UK","BFE","System.ServiceProcess.ServiceController","SafeServiceHandle","Running","Win32ShareProcess",,
"BITS","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","localhost","055e0862-bbf7-41ec-963f-45c98b73872c","False","False","True","Background Intelligent Transfer Service","","DVGEOBUILD008UK","BITS","System.ServiceProcess.ServiceController System.ServiceProcess.ServiceController","SafeServiceHandle","Running","Win32ShareProcess",,
